Ticker,"Name
","Fund Asset Class Focus
","Fund Market Cap Focus
",Strategy,"Fund Industry Focus
","Fund Geographical Focus
","Maturity Band
","Fund Rating Class Focus
",Expense Ratio,Actively Managed?,,ARKK,ARK INNOVATION ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.75,Y
MSOS,ADVISORSHARES PURE US CANN,Equity,Broad Market,Growth,Thematic,United States,N.A.,N.A.,0.74,Y,,AVUV,AVANTIS US SMALL CAP VALUE,Equity,Small-cap,Value,N.A.,United States,N.A.,N.A.,0.25,Y
,,,,,,,,,,,,LCTU,BLACKROCK US CARBON TR READ,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.3,Y
,,,,,,,,,,,,XLC,COMM SERV SELECT SECTOR SPDR,Equity,Large-cap,Blend,Communications,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLY,CONSUMER DISCRETIONARY SELT,Equity,Large-cap,Growth,Consumer Discretionary,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLP,CONSUMER STAPLES SPDR,Equity,Large-cap,Blend,Consumer Staples,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLE,ENERGY SELECT SECTOR SPDR,Equity,Large-cap,Blend,Energy,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLF,FINANCIAL SELECT SECTOR SPDR,Equity,Large-cap,Blend,Financial,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,GRID,FIRST TRST NASD CL EDG SGIIF,Equity,Broad Market,Blend,Thematic,Global,N.A.,N.A.,0.7,N
,,,,,,,,,,,,FAN,FIRST TRUST GLOBAL WIND ENER,Equity,Broad Market,Blend,Energy,Global,N.A.,N.A.,0.6,N
,,,,,,,,,,,,PAVE,GLOBAL X US INFRASTRUCTURE,Equity,Broad Market,Blend,Thematic,United States,N.A.,N.A.,0.47,N
,,,,,,,,,,,,XLV,HEALTH CARE SELECT SECTOR,Equity,Large-cap,Blend,Health Care,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,XLI,INDUSTRIAL SELECT SECT SPDR,Equity,Large-cap,Blend,Industrials,United States,N.A.,N.A.,0.1,N
,,,,,,,,,,,,QQQ,INVESCO QQQ TRUST SERIES 1,Equity,Large-cap,Growth,N.A.,United States,N.A.,N.A.,0.2,N
,,,,,,,,,,,,RSP,INVESCO S&P 500 EQUAL WEIGHT,Equity,Large-cap,Blend,N.A.,United States,N.A.,N.A.,0.2,N
,,,,,,,,,,,,TAN,INVESCO SOLAR ETF,Equity,Broad Market,Blend,Energy,Global,N.A.,N.A.,0.66,N
,,,,,,,,,,,,PHO,INVESCO WATER RESOURCES ETF,Equity,Broad Market,Blend,Thematic,United States,N.A.,N.A.,0.6,N
,,,,,,,,,,,,PBW,INVESCO WILDERHILL CLEAN ENE,Equity,Broad Market,Blend,Thematic,United States,N.A.,N.A.,0.62,N
,,,,,,,,,,,,IBB,ISHARES BIOTECHNOLOGY ETF,Equity,Broad Market,Blend,Health Care,United States,N.A.,N.A.,0.44,N
,,,,,,,,,,,,DGRO,ISHARES CORE DIVIDEND GROWTH,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.08,N
,,,,,,,,,,,,IEFA,ISHARES CORE MSCI EAFE ETF,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.07,N
,,,,,,,,,,,,IEMG,ISHARES CORE MSCI EMERGING,Equity,Large-cap,Blend,N.A.,International,N.A.,N.A.,0.09,N
